identifier,scheme_or_strategy,year,quarter,percent,cash
QUS00096,Qode Yield Enhancer++,2025,4,-0.30,-5481352.51
QUS00096,Qode Yield Enhancer++,2026,1,4.47,86485810.66
QUS00096,Qode Yield Enhancer++,2026,2,,0.00
QUS00096,Qode Yield Enhancer++,2026,3,,0.00
QUS00096,Qode Yield Enhancer++,2026,4,,0.00
QUS00097,Qode Yield Enhancer++,2026,1,12.16,6386537.03
QUS00097,Qode Yield Enhancer++,2026,2,,0.00
QUS00097,Qode Yield Enhancer++,2026,3,,0.00
QUS00097,Qode Yield Enhancer++,2026,4,,0.00
QUS00105,Qode All Weather++,2026,1,13.19,9699734.31
QUS00105,Qode All Weather++,2026,2,,0.00
QUS00105,Qode All Weather++,2026,3,,0.00
QUS00105,Qode All Weather++,2026,4,,0.00
QUS00106,Qode Yield Enhancer++,2026,1,4.95,2481164.38
QUS00106,Qode Yield Enhancer++,2026,2,,0.00
QUS00106,Qode Yield Enhancer++,2026,3,,0.00
QUS00106,Qode Yield Enhancer++,2026,4,,0.00
QUS00107,Qode Yield Enhancer++,2026,1,-0.76,-379090.04
QUS00107,Qode Yield Enhancer++,2026,2,,0.00
QUS00107,Qode Yield Enhancer++,2026,3,,0.00
QUS00107,Qode Yield Enhancer++,2026,4,,0.00
QUS0007,Total Portfolio,2022,1,,0.00
QUS0007,Total Portfolio,2022,2,,0.00
QUS0007,Total Portfolio,2022,3,,-1609424.10
QUS0007,Total Portfolio,2022,4,,176694.73
QUS0007,Total Portfolio,2023,1,,-395793.61
QUS0007,Total Portfolio,2023,2,,2672374.19
QUS0007,Total Portfolio,2023,3,,6690923.90
QUS0007,Total Portfolio,2023,4,,13138235.00
QUS0007,Total Portfolio,2024,1,,2469230.50
QUS0007,Total Portfolio,2024,2,,25393463.51
QUS0007,Total Portfolio,2024,3,,19863971.10
QUS0007,Total Portfolio,2024,4,,31414712.00
QUS0007,Total Portfolio,2025,1,,9538524.50
QUS0007,Total Portfolio,2025,2,,82365035.86
QUS0007,Total Portfolio,2025,3,,28713836.81
QUS0007,Total Portfolio,2025,4,,35579184.86
QUS0007,Total Portfolio,2026,1,,205254838.81
QUS0007,Total Portfolio,2026,2,,0.00
QUS0007,Total Portfolio,2026,3,,0.00
QUS0007,Total Portfolio,2026,4,,0.00
QUS0007,Scheme B,2024,1,-0.78,-797477.06
QUS0007,Scheme B,2024,2,7.14,8545849.00
QUS0007,Scheme B,2024,3,0.94,3900439.29
QUS0007,Scheme B,2024,4,3.60,16362733.52
QUS0007,Scheme B,2025,1,3.27,16071980.50
QUS0007,Scheme B,2025,2,6.45,46308592.26
QUS0007,Scheme B,2025,3,2.10,16715501.93
QUS0007,Scheme B,2025,4,1.71,17504591.63
QUS0007,Scheme B,2026,1,12.60,162374090.99
QUS0007,Scheme B,2026,2,,
QUS0007,Scheme B,2026,3,,
QUS0007,Scheme B,2026,4,,
QUS0007,Scheme PMS QAW,2025,1,,
QUS0007,Scheme PMS QAW,2025,2,8.08,10336722.03
QUS0007,Scheme PMS QAW,2025,3,4.24,11998334.88
QUS0007,Scheme PMS QAW,2025,4,6.56,18074593.23
QUS0007,Scheme PMS QAW,2026,1,11.08,42880747.82
QUS0007,Scheme PMS QAW,2026,2,,
QUS0007,Scheme PMS QAW,2026,3,,
QUS0007,Scheme PMS QAW,2026,4,,
QUS0007,Scheme QAW,2025,1,7.96,1504573.98
QUS0007,Scheme QAW,2025,2,,5664441.35
QUS0007,Scheme QAW,2025,3,,0.00
QUS0007,Scheme QAW,2025,4,,0.00
QUS0007,Scheme A,2022,1,,
QUS0007,Scheme A,2022,2,,
QUS0007,Scheme A,2022,3,-15.2,-1609424.10
QUS0007,Scheme A,2022,4,2.1,176694.70
QUS0007,Scheme A,2023,1,-4.7,-395793.60
QUS0007,Scheme A,2023,2,34.2,2672374.20
QUS0007,Scheme A,2023,3,52.1,6690923.80
QUS0007,Scheme A,2023,4,46.3,13138234.80
QUS0007,Scheme A,2024,1,18.7,3266707.50
QUS0007,Scheme A,2024,2,78.-2,16847614.50
QUS0007,Scheme A,2024,3,42.8,14142910.40
QUS0007,Scheme A,2024,4,28.9,12837438.50
QUS0007,Scheme A,2025,1,-12.4,-8038030.00
QUS0007,Scheme A,2025,2,35.6,20053523.70
QUS0007,Scheme A,2025,3,,
QUS0007,Scheme A,2025,4,,
QUS0007,Scheme C,2024,1,,0.00
QUS0007,Scheme C,2024,2,,0.00
QUS0007,Scheme C,2024,3,3.79,1820621.13
QUS0007,Scheme C,2024,4,4.29,2231539.52
QUS0007,Scheme D,2024,1,,0.00
QUS0007,Scheme D,2024,2,,0.00
QUS0007,Scheme D,2024,3,,0.00
QUS0007,Scheme D,2024,4,-0.16,-12287.12
QUS0007,Scheme D,2025,1,2.41,244827.10
QUS0007,Scheme D,2025,2,,0.00
QUS0007,Scheme D,2025,3,,0.00
QUS0007,Scheme D,2025,4,,0.00
QUS0007,Scheme E,2024,1,,0.00
QUS0007,Scheme E,2024,2,,0.00
QUS0007,Scheme E,2024,3,,0.00
QUS0007,Scheme E,2024,4,2.36,5914281.13
QUS0007,Scheme E,2025,1,2.72,7106562.17
QUS0007,Scheme E,2025,2,,0.00
QUS0007,Scheme E,2025,3,,0.00
QUS0007,Scheme E,2025,4,,0.00
QUS0007,Scheme F,2024,1,,0.00
QUS0007,Scheme F,2024,2,,0.00
QUS0007,Scheme F,2024,3,,0.00
QUS0007,Scheme F,2024,4,2.13,5399550.24
QUS0007,Scheme F,2025,1,2.10,5554909.46
QUS0007,Scheme F,2025,2,,0.00
QUS0007,Scheme F,2025,3,,0.00
QUS0007,Scheme F,2025,4,,0.00
QUS0010,Total Portfolio,2024,1,,0.00
QUS0010,Total Portfolio,2024,2,,-266592.46
QUS0010,Total Portfolio,2024,3,,785096.50
QUS0010,Total Portfolio,2024,4,,444459.79
QUS0010,Total Portfolio,2025,1,,-6141212.18
QUS0010,Total Portfolio,2025,2,,7131527.27
QUS0010,Total Portfolio,2025,3,,3935386.99
QUS0010,Total Portfolio,2025,4,,7128568.96
QUS0010,Total Portfolio,2026,1,,23364758.67
QUS0010,Total Portfolio,2026,2,,0.00
QUS0010,Total Portfolio,2026,3,,0.00
QUS0010,Total Portfolio,2026,4,,0.00
QUS0010,Scheme PMS QAW,2025,1,,
QUS0010,Scheme PMS QAW,2025,2,2.10,1979053.97
QUS0010,Scheme PMS QAW,2025,3,4.10,3935386.99
QUS0010,Scheme PMS QAW,2025,4,6.59,6588696.56
QUS0010,Scheme PMS QAW,2026,1,11.87,13910788.76
QUS0010,Scheme PMS QAW,2026,2,,
QUS0010,Scheme PMS QAW,2026,3,,
QUS0010,Scheme PMS QAW,2026,4,,
QUS0010,Scheme QAW++,2026,1,18.12,9206553.52
QUS0010,Scheme QAW++,2026,2,,
QUS0010,Scheme QAW++,2026,3,,
QUS0010,Scheme QAW++,2026,4,,
QUS0010,Scheme QYE++,2025,1,,
QUS0010,Scheme QYE++,2025,2,,
QUS0010,Scheme QYE++,2025,3,,
QUS0010,Scheme QYE++,2025,4,0.56,539872.40
QUS0010,Scheme QYE++,2026,1,0.49,247416.39
QUS0010,Scheme QYE++,2026,2,,
QUS0010,Scheme QYE++,2026,3,,
QUS0010,Scheme QYE++,2026,4,,
QUS0010,Scheme A,2024,1,,0.00
QUS0010,Scheme A,2024,2,,0.00
QUS0010,Scheme A,2024,3,,0.00
QUS0010,Scheme A,2024,4,-0.36,-246093.44
QUS0010,Scheme A,2025,1,-1.7,-6141212.18
QUS0010,Scheme A,2025,2,,5152473.27
QUS0010,Scheme A,2025,3,,0.00
QUS0010,Scheme A,2025,4,,0.00
QUS0010,Scheme B,2024,1,,0.00
QUS0010,Scheme B,2024,2,0.3,169727.34
QUS0010,Scheme B,2024,3,-0.75,785096.50
QUS0010,Scheme B,2024,4,0.91,690553.23
QUS0010,Scheme A (Old),2024,1,,0.00
QUS0010,Scheme A (Old),2024,2,-0.64,-436319.80
QUS0010,Scheme A (Old),2024,3,,0.00
QUS0010,Scheme A (Old),2024,4,,0.00
QUS00072,Total Portfolio,2025,1,0,0.00
QUS00072,Total Portfolio,2025,2,0,0.00
QUS00072,Total Portfolio,2025,3,5.81,2904747.90
QUS00072,Total Portfolio,2025,4,5.78,3069633.03
QUS00072,Total Portfolio,2026,1,18.79,10553368.97
QUS00072,Total Portfolio,2026,2,0,0.00
QUS00072,Total Portfolio,2026,3,0,0.00
QUS00072,Total Portfolio,2026,4,0,0.00
QUS00072,Scheme QAW++,2026,1,17.08,9722312.60
QUS00072,Scheme QAW++,2026,2,0,0
QUS00072,Scheme QAW++,2026,3,0,0
QUS00072,Scheme QAW++,2026,4,0,0
QUS00072,Scheme QTF,2025,1,0,0
QUS00072,Scheme QTF,2025,2,0,0
QUS00072,Scheme QTF,2025,3,5.81,2904747.90
QUS00072,Scheme QTF,2025,4,5.78,3069633.03
QUS00072,Scheme QTF,2026,1,1.47,831056.37
QUS00072,Scheme QTF,2026,2,0,0
QUS00072,Scheme QTF,2026,3,0,0
QUS00072,Scheme QTF,2026,4,0,0
